,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image,filename
3622,51037,Women,Apparel,Innerwear,Briefs,White,Summer,2017,Casual,Enamor Women White and Pink Briefs,http://assets.myntassets.com/v1/images/style/properties/2a8c4ad943736caa507e7a9ff5d5665e_images.jpg,51037.jpg
22586,50344,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Aurelia Women Black Printed Kurta,http://assets.myntassets.com/v1/images/style/properties/AURELIA-Women-Printed-Black-Kurta_a5459d1da2c8a927001daeb1939480c3_images.jpg,50344.jpg
40379,54992,Women,Apparel,Topwear,Shrug,Beige,Summer,2012,Casual,Femella Women Black & Beige Shrug,http://assets.myntassets.com/v1/images/style/properties/Femella-Women-Black---Beige-Shrug_3baff3492cf39bbdfbcd61aca1b353e6_images.jpg,54992.jpg
11963,14134,Women,Apparel,Bottomwear,Track Pants,Grey,Fall,2011,Sports,Nike Women Solid Grey Track Pants,http://assets.myntassets.com/v1/images/style/properties/ca535d2b946da41a925196821537c113_images.jpg,14134.jpg
12919,49759,Women,Apparel,Bottomwear,Leggings,Red,Summer,2012,Casual,Vishudh Red Leggings,http://assets.myntassets.com/v1/images/style/properties/e7cc79552a7bf006a57311b81ee1df75_images.jpg,49759.jpg
16020,39883,Unisex,Accessories,Bags,Duffel Bag,Blue,Spring,2012,Casual,ADIDAS Unisex Blue Duffle Bag,http://assets.myntassets.com/v1/images/style/properties/2e72f28df828b3e6a24e2819bac8143b_images.jpg,39883.jpg
40617,10215,Women,Accessories,Bags,Handbags,Purple,Winter,2015,Casual,Murcia Women Hths Purple Handbags,http://assets.myntassets.com/v1/images/style/properties/b718af6ebf06ba1d8bba876507020ef8_images.jpg,10215.jpg
25866,39588,Women,Footwear,Shoes,Heels,Black,Winter,2015,Casual,Catwalk Women Black Wedges,http://assets.myntassets.com/v1/images/style/properties/d19c891504f4d78a982f45055b4027b0_images.jpg,39588.jpg
35110,3838,Women,Footwear,Shoes,Flats,Black,Summer,2011,Casual,Crocs Women Olivia Black Sandal,http://assets.myntassets.com/v1/images/style/properties/68efe3513522bd3206c3fae581c9a88d_images.jpg,3838.jpg
28414,2305,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Nike Women Blue Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/903657dc12f6a433a0dbb395c0ed21cd_images.jpg,2305.jpg
29314,51920,Women,Accessories,Bags,Handbags,Blue,Summer,2016,Casual,Nyk Women Ink Blue Albedo Handbag,http://assets.myntassets.com/v1/images/style/properties/Nyk-Women-Ink-Blue-Albedo-Handbag_84894a5d522d473d312cf76dda8e79c7_images.jpg,51920.jpg
31746,42963,Men,Accessories,Belts,Belts,Black,Summer,2012,Formal,French Connection Men Black Belt,http://assets.myntassets.com/v1/images/style/properties/d8b9be91a35c9b1b1511fcdf0fd34d5b_images.jpg,42963.jpg
30238,4063,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Myntra Men's Friend White T-shirt,http://assets.myntassets.com/v1/images/style/properties/6b48cfdb61bef4fd3c5c80ce92c5e267_images.jpg,4063.jpg
37721,19047,Women,Footwear,Shoes,Heels,Multi,Winter,2015,Casual,Catwalk Women Multi Flats,http://assets.myntassets.com/v1/images/style/properties/45f9dc8d358c90336a38c5635c8dd686_images.jpg,19047.jpg
39170,17260,Men,Apparel,Topwear,Tshirts,Cream,Fall,2011,Casual,U.S. Polo Assn. Men Solid Ivory Polo Tshirt,http://assets.myntassets.com/v1/images/style/properties/525c5908cd72bf3ae4e334b43ccc3e19_images.jpg,17260.jpg
13898,58474,Men,Accessories,Wallets,Wallets,Olive,Winter,2016,Casual,Fossil Men Olive Wallet,http://assets.myntassets.com/v1/images/style/properties/Fossil-Men-Olive-Wallet_dcb41f829091b2ace438bff50fc2031d_images.jpg,58474.jpg
21444,37696,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2012,Casual,American Tourister Unisex Blue Backpack,http://assets.myntassets.com/v1/images/style/properties/2877916d7740d05e0bd333a555588a73_images.jpg,37696.jpg
1680,46813,Girls,Apparel,Bottomwear,Skirts,Pink,Summer,2012,Casual,Gini and Jony Girls Pink Skirt,http://assets.myntassets.com/v1/images/style/properties/167c8880c4c77718ac8e2ecdf57e619c_images.jpg,46813.jpg
33294,13510,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Chimp Men Say Cheese Green Tshirts,http://assets.myntassets.com/v1/images/style/properties/2c3ca9bdcfdab3e8e0c765fc7f412367_images.jpg,13510.jpg
12880,40082,Men,Apparel,Bottomwear,Shorts,Navy Blue,Winter,2014,Casual,ADIDAS Men Navy Blue Short,http://assets.myntassets.com/v1/images/style/properties/e1ea76a453ad5da6532e361d1e607b5e_images.jpg,40082.jpg
28705,30147,Men,Accessories,Headwear,Caps,Grey,Summer,2012,Casual,Wrangler Men Grey Cap,http://assets.myntassets.com/v1/images/style/properties/1834a4e712d960e0355c164cec4b41e3_images.jpg,30147.jpg
26411,17425,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Casio Enticer Men White Dial Multi-Dial Analogue Watch MTP-1192E-7ADF(A166),http://assets.myntassets.com/assets/images/17425/2018/3/5/11520250132378-Casio-Enticer-Men-White-Dial-Analogue-Watch-A166-1601520250132151-1.jpg,17425.jpg
26168,46816,Girls,Apparel,Topwear,Tops,Yellow,Summer,2012,Casual,Gini and Jony Girls Yellow Top,http://assets.myntassets.com/v1/images/style/properties/8e9a36953834b934878df335a6f94c60_images.jpg,46816.jpg
4055,50586,Men,Apparel,Innerwear,Briefs,Black,Summer,2016,Casual,Chromozome Men Black Briefs,http://assets.myntassets.com/v1/images/style/properties/Chromozome-Men-Black-Brief_e8075bf70e2a195578147153a29cfea0_images.jpg,50586.jpg
3587,52480,Women,Apparel,Loungewear and Nightwear,Baby Dolls,Blue,Winter,2015,Casual,Red Rose Blue & Black Nightdress,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Blue---Black-Nightdress_e79589bf50832bfcafc0913b46bd7d55_images.jpg,52480.jpg
23082,39325,Girls,Apparel,Topwear,Tops,Yellow,Summer,2012,Casual,Gini and Jony Girls Printed Yellow Top,http://assets.myntassets.com/v1/images/style/properties/e479cade7294e236399913aff4c6b36e_images.jpg,39325.jpg
23353,8524,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Casual,Nike Unisex Nike Black plain Black Backpacks,http://assets.myntassets.com/v1/images/style/properties/c27ea127baef4c657c22010e3216bcdd_images.jpg,8524.jpg
1938,33847,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012,Casual,Puma Men Future Cat White Shoes,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Future-Cat-White-Shoes_582426f358a2de021996e86cfe3fd737_images.jpg,33847.jpg
42757,13659,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Genesis Men Red Stripe Shirt,http://assets.myntassets.com/v1/images/style/properties/a3b987a4bdfffa7282ddffcf2d45e93c_images.jpg,13659.jpg
41058,28889,Women,Apparel,Innerwear,Briefs,Brown,Summer,2012,Casual,Enamor Women Brown Boy Shorts Brief,http://assets.myntassets.com/v1/images/style/properties/496f75863eae6326332782af0139f74b_images.jpg,28889.jpg
30852,31093,Boys,Apparel,Topwear,Shirts,White,Summer,2012,Casual,Gini and Jony Boys White Shirt,http://assets.myntassets.com/v1/images/style/properties/5434fde91285b36cae3fe9d391f9fda7_images.jpg,31093.jpg
