id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image,filename,price
10060,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Puma Men motor sport tee White Tshirts,http://assets.myntassets.com/v1/images/style/properties/c9ea7b775dd14c52b71b265f4544fd17_images.jpg,10060.jpg,40.0
23766,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Oakley Men Black Fast Jacket Sunglasses,http://assets.myntassets.com/v1/images/style/properties/Oakley-Men-Black-Fast-Jacket-Sunglasses1072b4b41f6c833df7c078b024f11bf8_images.jpg,23766.jpg,135.0
37332,Women,Accessories,Watch,Watch,White,Winter,2016,Casual,DKNY Women White Dial Watch NY8482,http://assets.myntassets.com/v1/images/style/properties/f15774d5031ed58d6879e51b593783f3_images.jpg,37332.jpg,120.0
56464,Women,Personal Care,Nails,Nail Polish,Pink,Spring,2017,Casual,Streetwear Pink Petals Nail Polish 34,http://assets.myntassets.com/v1/images/style/properties/Streetwear-Pink-Petals-Nail-Polish-34_4783f8bf600085ca6b4aa196356b5294_images.jpg,56464.jpg,145.0
13506,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Chimp Men Color me Happy White Tshirts,http://assets.myntassets.com/v1/images/style/properties/ecf8709cb817bd0de3a145b064f28741_images.jpg,13506.jpg,130.0
28309,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Fastrack Men Black Sunglasses,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Men-Black-Sunglassesb1193e0ca010503f820f565b848a6c20_images.jpg,28309.jpg,160.0
58992,Men,Personal Care,Fragrance,Deodorant,Red,Spring,2017,Casual,Cavallini Men Deo,http://assets.myntassets.com/v1/images/style/properties/Cavallini-Men-Deo_3a19db84c0aa85dc5c94bc5744435f82_images.jpg,58992.jpg,175.0
32265,Men,Accessories,Socks,Socks,White,Summer,2016,Casual,2go Active Gear USA Men Pack of 3 White Socks,http://assets.myntassets.com/v1/images/style/properties/a832ecba76d1af27ebd465dfc4ba0b7d_images.jpg,32265.jpg,150.0
28228,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017,Casual,Playboy Men New York Deo,http://assets.myntassets.com/assets/images/28228/2017/9/5/11504608558104-Playboy-Men-New-York-Deo-2711504608558020-1.jpg,28228.jpg,140.0
11311,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2016,Casual,Wrangler Men Blue Texas Jeans,http://assets.myntassets.com/v1/images/style/properties/96ae282986dd0525024d4da078860de8_images.jpg,11311.jpg,155.0
