,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image,filename,price
1743,55400,Women,Personal Care,Makeup,Kajal and Eyeliner,Charcoal,Spring,2017,Casual,Revlon Grow Luscious Graphite Eye Liner,http://assets.myntassets.com/v1/images/style/properties/Revlon-Grow-Luscious-Graphite-Eye-Liner_b1474ea1a80f79616c35888970005521_images.jpg,55400.jpg,30.0
3194,26198,Men,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017,Casual,Formula 1 Start Men Perfume,http://assets.myntassets.com/v1/images/style/properties/fdb8388703d9ee7b5d648b09af67b26c_images.jpg,26198.jpg,25.0
3641,35116,Women,Accessories,Jewellery,Necklace and Chains,Black,Summer,2012,Casual,Allen Solly Woman Black Necklace,http://assets.myntassets.com/v1/images/style/properties/9a9899e971c7859d1b8d7b46f470fccd_images.jpg,35116.jpg,65.0
4018,53131,Women,Footwear,Shoes,Heels,Gold,Winter,2015,Casual,Catwalk Women Gold Toned & Brown Flats,http://assets.myntassets.com/v1/images/style/properties/07e48d8401a4df76bb348457a93c26f0_images.jpg,53131.jpg,95.0
6591,13992,Women,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Puma Women Body Train Grey Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/11d11f89a9fca73138933b90f3dfe519_images.jpg,13992.jpg,100.0
3940,39942,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2013,Casual,Gas Men Navy Blue Shoes,http://assets.myntassets.com/v1/images/style/properties/d039d725e9893e24fd9f021de968a920_images.jpg,39942.jpg,100.0
2586,55869,Women,Personal Care,Nails,Nail Polish,Red,Spring,2017,Casual,Colorbar All Fired Up 2 Nail Lacquer 83V,http://assets.myntassets.com/assets/images/55869/2019/1/10/cae7558d-90b4-4eba-b9a5-58ba8e7c8e1a1547125193667-Colorbar-All-Fired-Up-2-Nail-Lacquer-83V-9801547125193592-1.jpg,55869.jpg,190.0
7169,14119,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Flying Machine Women Printed Grey Tshirts,http://assets.myntassets.com/v1/images/style/properties/45a1a06e897a7c64d32060a60624c870_images.jpg,14119.jpg,55.0
5230,43563,Women,Accessories,Socks,Socks,White,Summer,2012,Casual,Puma Women Pack of 3 Socks,http://assets.myntassets.com/v1/images/style/properties/1318bd510d31e837f40ceaa8eb40c680_images.jpg,43563.jpg,75.0
5520,24528,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Mother Earth Men White Shirt,http://assets.myntassets.com/v1/images/style/properties/338f183a1eaa68d0d179fed547b8988f_images.jpg,24528.jpg,35.0
9020,18582,Women,Accessories,Socks,Socks,Black,Summer,2011,Casual,Puma Women Pack of 2 Socks,http://assets.myntassets.com/v1/images/style/properties/2f0097263571a52e1526a3f43f89f8a7_images.jpg,18582.jpg,195.0
7697,24776,Men,Footwear,Shoes,Sports Shoes,Bronze,Spring,2012,Casual,Nike Men Obs T-Lite 9 Sl Bronze Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/Nike-Men-OBS-T-LITE-9-SL-Bronze-Sports-Shoes_5c8d7e3d53f39a3112e01b9b9bbfad94_images.jpg,24776.jpg,105.0
1584,14498,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Flying Machine Men Casual Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/dd4df7d68ef98ab9ebc1ce6d20cbe6b5_images.jpg,14498.jpg,40.0
